decision_area,decision,status,evidence
Field meaning,"Interpret populated substantive values as runner-level English-language descriptions of race position and performance.",Confirmed,"Manual inspection across British, Irish and selected overseas jurisdictions showed consistent in-running narrative content."
Jurisdiction consistency,"Use the same broad field meaning across jurisdictions when substantive text is present.",Confirmed,"France, Germany, Australia, Italy, Hong Kong, the United States and the UAE contained recognisably comparable performance prose."
Coverage,"Treat comment availability as jurisdiction- and feed-dependent rather than as a source-wide random missingness process.",Confirmed,"Great Britain and Ireland were complete while several overseas feeds were sparse or selective."
Empty values,"Preserve an empty string as source absence and do not interpret it as evidence that no notable race event occurred.",Required,"Whole-race and mixed within-race missingness patterns varied materially by jurisdiction."
Short codes and placeholders,"Preserve profiled short values separately from substantive prose until their source meanings are independently established.",Required,"Values such as '.', 'A', 'B' and 'V' were rare, and the tested equipment interpretation was not supported."
Terminal parenthetical material,"Recognise that British and Irish comments frequently contain embedded terminal information beyond the in-running narrative.",Confirmed,"Terminal parentheticals appeared in 83.44% of sampled British comments and 77.46% of sampled Irish comments."
Market information,"Retain market-related terminal text within the raw comment and do not yet extract it into permanent structured fields.",Deferred,"Recognisable markers exist, but malformed, nested and attributed parentheticals prevent authorising a simple terminal parser."
Attributed reports,"Preserve jockey, trainer and other attributed statements as part of the raw source comment.",Required,"Manual examples showed attributed reports can appear immediately before market parentheticals and may contain their own brackets."
Comment parsing,"Do not implement a general comment parser during this source-field study.",Deferred,"The field combines hyphen-delimited narrative, reports, market markers and malformed or nested source structures."
Database storage,"Preserve the exact raw comment and attach lineage, jurisdiction and any future derived assertions separately.",Required,"Raw wording and source structure are analytically valuable and coverage regimes differ materially."
Future enrichment,"Any externally sourced or translated commentary must be stored separately with provider, language, retrieval and join provenance.",Deferred,"The present study establishes source limitations but does not establish recoverability, licensing or historical availability."
