decision_id,horse,decision_scope,analytical_outcome,raw_sire,raw_dam,raw_damsire,governed_sire,governed_dam,governed_damsire,verification_status,verification_id,evidence_locator,confidence,notes
NB19-ID-0001,Almutawakel,damsire_label_family,Corrected,,,Almutawakel | AlmutawakelI | Almutawakel I,,,Almutawakel (GB),confirmed,NB19-HORSE-0001,https://www.godolphin.com/horses/almutawakel-gb,high,Bounded label equivalence only; do not generalise terminal-I removal.
NB19-ID-0002,Felix Felicis (FR),complete_pedigree,Corrected,Affinisea (IRE),Just Eile (IRE),Presenting (GB),Olympic Glory (IRE),Sorina (FR),Le Havre (IRE),confirmed,NB19-ID-0002,Notebook 19 saved external pedigree evidence,high,Three early rows carry a pedigree belonging to another horse; preserve raw rows and expose the governed pedigree downstream.
NB19-ID-0003,Forest King (AUS),horse_label,Different horse,Rubick (AUS) | Tiger Of Malay (AUS),Lady Of War (AUS) | Tibrogargan Miss (AUS),Charge Forward (AUS) | Monashee Mountain (USA),,,,confirmed,NB19-ID-0003,Notebook 19 saved cross-registry evidence,high,The exact source label is shared by two registered horses; occurrence splitting is required.
NB19-ID-0004,New President (FR),complete_pedigree,Corrected,Sinndar (IRE),Sun Song | Sun Song I | Sun Song II,blank | Dr Fong (USA),Sinndar (IRE),Sun Song,Dr Fong (USA),confirmed,NB19-HORSE-0002,https://www.france-galop.com/sites/default/files/2023-05/23obst08.pdf,high,Official France Galop material confirms the governed pedigree.
NB19-ID-0005,Herbert (NZ),sire,Corrected,Warning Flag (USA) | Sweet Orange (USA),Ze One (AUS),All American (AUS),Sweet Orange (USA),Ze One (AUS),All American (AUS),confirmed,NB19-HORSE-0003,https://loveracing.nz/Breeding/423062/Herbert-NZ-2020.aspx; https://loveracing.nz/Breeding/304111/Sweet-Orange-USA.aspx,high,The official stud book records Warning Flag as another name for Sweet Orange.
NB19-ID-0006,Bonny Ezra (NZ),dam,Corrected,Road To Rock (AUS),Ascolini (AUS) | Ascolini (NZ),Bertolini (USA),Road To Rock (AUS),Ascolini (NZ),Bertolini (USA),confirmed,NB19-ID-0006,https://loveracing.nz/Breeding/226132/Bertolini-USA-1996.aspx,high,The AUS dam suffix is a bounded source metadata defect; the registered broodmare is New Zealand-bred.
NB19-ID-0007,Alderley Charlie (GB),damsire,Corrected,Ask (GB),Alderley Heights (GB),Ut*Windsor Heights | Windsor Heights,Ask (GB),Alderley Heights (GB),Windsor Heights,confirmed,NB19-ID-0007,https://www.sporthorsegb.co.uk/shbgb-horse-detail.asp?$=141284,high,Ut* is retained only as a raw source marker and is not part of the governed stallion label.
NB19-ID-0008,Hangry (IRE),sire,Corrected,Galileo (FR) | Galileo (IRE),Magic Tree (UAE),Timber Country (USA),Galileo (IRE),Magic Tree (UAE),Timber Country (USA),confirmed,NB19-ID-0008,Notebook 19 saved published pedigree evidence,medium,The FR sire suffix is treated as a bounded source metadata defect.
NB19-ID-0009,Almavillalobas (GB),dam,Unresolved,Master Carpenter (IRE),Nation (USA) | Nation II (USA),Rio Verde (USA),,,,unresolved,NB19-ID-0009,Weatherbys General Stud Book enquiry sent 2026-08-02,medium,Await official confirmation before assigning a governed dam label.
NB19-ID-0010,Colwyn Bay (FR),dam_and_damsire,Unresolved,Falco (USA),Eudora | Eudora I,More Than Ready (USA) | King's Best (USA),,,,unresolved,NB19-ID-0010,France Galop enquiry sent 2026-08-02,medium,Await official confirmation because two pedigree components disagree.
NB19-ID-0011,Diamond Tipp (IRE),dam_and_damsire,Unresolved,Diamond Boy (FR),Sound Out | Soundout,Great Palm (USA) | Oscar (IRE),,,,unresolved,NB19-ID-0011,Weatherbys Ireland enquiry sent 2026-08-02,medium,Commercial and publication chains disagree; no governed pedigree is assigned.
NB19-ID-0012,LAziza Des Places (FR),sire,Unresolved,Alandi (IRE) | Alanadi (FR),Liliane Star (FR),Anabaa Blue (GB),,,,unresolved,NB19-ID-0012,France Galop enquiry sent 2026-08-02,medium,Both sire labels identify real stallions; await the French Stud Book response.
NB19-ID-0013,Runninsonofagun (IRE),damsire,Unresolved,Jet Away (GB),Sounds Of Thunder (IRE),General Monash (USA) | Society Rock (IRE),,,,unresolved,NB19-ID-0013,Weatherbys Ireland enquiry sent 2026-08-02,medium,The source contains two sustained damsire histories; await official confirmation.
NB19-ID-0014,Lyneham (FR),partial_pedigree,Different horse,,,,,,,confirmed,NB19-ID-0014,Notebook 19 source-wide chronology and pedigree evidence,high,Material partial pedigree change with separated chronology requires a split.
NB19-ID-0015,Marakan (IRE),partial_pedigree,Different horse,,,,,,,confirmed,NB19-ID-0015,Notebook 19 source-wide chronology and pedigree evidence,high,Material partial pedigree change with separated chronology requires a split.
NB19-ID-0016,What A Whopper (IRE),partial_pedigree,Different horse,,,,,,,confirmed,NB19-ID-0016,Notebook 19 source-wide chronology and pedigree evidence,high,Material partial pedigree change with separated chronology requires a split.
