token_multiset_key,raw_label_count,token_sequence_count,combined_runner_rows,first_date,last_date,candidate_structure,has_same_race_variant_evidence,evidence_status,identity_relationship,decision_basis,confidence,mapping_method,database_action
1 | 2 | lees | newcastle | newcastle | racecourse | racecourse | racing,2,2,12,2021-02-13,2023-05-13,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
100 | amy | biancone | club | diamond | dunne | l | llc | patrick | racing,2,2,4,2019-06-29,2022-12-31,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
3 | ailes | capital | caullery | compagnie | gest | invest | nicolas,2,2,26,2024-08-20,2026-01-09,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | a | al | c | et | moloney | mrs | p | peters,2,2,5,2015-11-14,2020-08-15,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | a | al | currie | et | lahoud | m,2,2,4,2020-08-29,2025-03-29,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | a | al | et | j | kheir | oneill,2,2,191,2020-10-03,2026-05-16,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | a | b | m | n | newsom | p | wales | whitehouse,2,2,17,2015-05-02,2024-04-20,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | a | g | l | m | mrs | muollo | muollo | muollo | n,2,2,4,2019-10-19,2022-05-28,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | a | j | jarvis | lawrence | r | rattray | t | w,2,2,8,2017-03-18,2018-09-30,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
a | al | allard | bisson | d | et | jacques | s,2,2,16,2024-12-30,2026-04-16,reordered_token_sequence,False,candidate_without_same_race_evidence,unresolved,exact owner token multiset candidate without sufficient same-race source evidence,low,,preserve_raw_unresolved
