verification_id,subject_type,source_date,source_course,source_off,source_horse,source_field,raw_source_value,verification_question,verified_value,verification_status,evidence_type,evidence_locator,evidence_accessed_date,governing_notebook,confidence,notes,database_action
NB05-POS-0001,runner,2015-05-16,Morphettville (AUS),4:38,Cinnamon Carter (AUS),pos,10,What was Cinnamon Carter's official finishing position in the SA Fillies Classic?,verified_pos=12; dead_heat_with=Mighty Maher (AUS),contradicted,published_result,https://www.breednet.com.au/stakes-race-results/race-history?racename=sajc+fillies+classic,,5,high,Notebook 05 externally verified that source rowid 55516 stores pos 10 but Cinnamon Carter dead-heated for twelfth. Preserve raw pos and expose verified position downstream.,source_correction_candidate
NB06-DIST-0001,race,2015-01-25,Sha Tin (HK),8:35,,dist,1m,What was the official scheduled distance of the Stewards' Cup?,official_distance_metres=1600,confirmed,official_authority_record,"notebooks/06_race_distance_parsing.ipynb; Hong Kong Jockey Club, The Stewards' Cup — 1600 Metres — Sha Tin — Sunday 25 January 2015",,6,high,The source literal 1m converts to 1609.344m but the official scheduled distance was 1600m. Preserve both concepts.,reference_enrichment
NB06-DIST-0002,race,2015-01-04,Kyoto (JPN),6:45,,dist,1m,What was the official scheduled distance of the Sports Nippon Sho Kyoto Kimpai?,official_distance_metres=1600,confirmed,official_authority_record,"notebooks/06_race_distance_parsing.ipynb; Japan Racing Association, 2015 Kyoto Kimpai — course 1,600 metres",,6,high,The source literal 1m converts to 1609.344m but the official scheduled distance was 1600m. Preserve both concepts.,reference_enrichment
NB08-SP-0001,runner,,,,Ptit Zig (FR),sp,EvensF,Does contemporary reporting agree with the source starting price and favourite marker?,evens favourite,confirmed,published_result,notebooks/08_starting_price_parsing.ipynb; Dipper Novices' Chase external sample,,8,medium,External reporting agrees exactly with the source value. Evidence-only confirmation; no replacement required.,evidence_only
NB08-SP-0002,runner,,,,Really Unique (IRE),sp,4/1C,Do independent result sources agree with the source co-favourite price?,4/1 co-favourite; one source reports one of three 4/1 co-favourites,confirmed,published_result,notebooks/08_starting_price_parsing.ipynb; Thurles Handicap Hurdle external sample,,8,medium,External reporting agrees with the source price and co-favourite marker. Evidence-only confirmation.,evidence_only
NB08-SP-0003,runner,,,,Lady Sabelia (USA),sp,30/100F,Does contemporary reporting corroborate the unreduced source fraction and favourite status?,reports include 3/10 favourite and 1/5 favourite,partially_confirmed,published_result,notebooks/08_starting_price_parsing.ipynb; What A Summer Stakes external sample,,8,medium,The evidence supports 30/100 as a valid unreduced 3/10 representation but quoted prices differ across reports. Do not replace the source price.,evidence_only
NB08-SP-0004,runner,2025-07-20,Del Mar (USA),1:03,Almendares (GB),sp,F,What returned starting price accompanied the source favourite marker for Almendares in the Wickerr Stakes?,5/2 favourite,confirmed,published_result,notebooks/08_starting_price_parsing.ipynb; Wickerr Stakes external result reporting; source_rowid=1708860,,8,high,The source contains only favourite status. Notebook 08 explicitly records the externally verified numeric correction. Preserve raw F and expose 5/2 favourite downstream.,source_correction_candidate
NB11-TIME-0001,race,2018-10-20,Caulfield (AUS),2:15,,off,2:15,Which pre-boundary branch matches the externally published advertised UK-facing time?,advertised_uk=02:15; selected_branch=candidate_a,confirmed,published_race_time,notebooks/11_off_time_and_temporal_semantics.ipynb; Racing Post; race_id=714541,,11,high,External advertised-time validation agrees with the canonical reconstruction.,evidence_only
NB11-TIME-0002,race,2018-10-20,Caulfield (AUS),4:45,,off,4:45,Which pre-boundary branch matches the externally published advertised UK-facing time?,advertised_uk=04:45; selected_branch=candidate_a,confirmed,published_race_time,notebooks/11_off_time_and_temporal_semantics.ipynb; Racing Post; race_id=714545,,11,high,External advertised-time validation agrees with the canonical reconstruction.,evidence_only
NB11-TIME-0003,race,2018-10-20,Caulfield (AUS),7:50,,off,7:50,Which pre-boundary branch matches the externally published advertised UK-facing time?,advertised_uk=07:50; selected_branch=candidate_a,confirmed,published_race_time,notebooks/11_off_time_and_temporal_semantics.ipynb; Racing Post; race_id=714667,,11,high,External advertised-time validation agrees with the canonical reconstruction.,evidence_only
NB11-TIME-0004,race,2024-04-06,Randwick (AUS),2:25,,off,2:25,Which pre-boundary branch matches the externally published advertised UK-facing time?,advertised_uk=02:25; selected_branch=candidate_a,confirmed,published_race_time,notebooks/11_off_time_and_temporal_semantics.ipynb; At The Races; race_id=865155,,11,high,External advertised-time validation agrees with the canonical reconstruction.,evidence_only
NB11-TIME-0005,race,2025-03-01,Gulfstream Park (USA),6:01,,off,6:01,Which pre-boundary branch matches the externally published advertised UK-facing time?,advertised_uk=18:01; selected_branch=candidate_b,confirmed,published_race_time,notebooks/11_off_time_and_temporal_semantics.ipynb; At The Races / Sky Sports; race_id=889057,,11,high,External advertised-time validation agrees with the canonical reconstruction.,evidence_only
NB11-TIME-0006,race,2025-03-01,Gulfstream Park (USA),9:04,,off,9:04,Which pre-boundary branch matches the externally published advertised UK-facing time?,advertised_uk=21:04; selected_branch=candidate_b,confirmed,published_race_time,notebooks/11_off_time_and_temporal_semantics.ipynb; At The Races / Sky Sports; race_id=889795,,11,high,External advertised-time validation agrees with the canonical reconstruction.,evidence_only
NB11-TIME-0007,race,2025-03-01,Gulfstream Park (USA),11:14,,off,11:14,Which pre-boundary branch matches the externally published advertised UK-facing time?,advertised_uk=23:14; selected_branch=candidate_b,confirmed,published_race_time,notebooks/11_off_time_and_temporal_semantics.ipynb; At The Races / Sky Sports; race_id=889061,,11,high,External advertised-time validation agrees with the canonical reconstruction.,evidence_only
