verification_id,repair_record_id,source_rowid,source_race_id,source_date,source_course,source_off,source_horse,source_field,raw_source_value,governed_value,verification_status,evidence_type,evidence_locator,evidence_accessed_date,confidence,notes,database_action
NB20-CONNECTION-0001,connection_blank_001,189632,648524,2016-04-08,Auteuil (FR),2:15,Ahzana (FR),jockey,,T. Viel,confirmed,independent historical horse record and racecard,https://www.canalturf.com/courses_fiche_cheval.php?idcheval=176640 | https://www.coin-turf.fr/programmes-courses/08042016/3080_auteuil/prix-guy-hunault,2026-08-03,high,connection_blank_001; Both sources identify T. Viel as Ahzana's jockey in the Prix Guy Hunault on 2016-04-08. Preserve the source-style abbreviated label; no canonical person identity is asserted. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0002,connection_blank_002,1068784,792961,2021-09-05,Baden-Baden (GER),2:15,Millebosc (FR),jockey,,Adrie de Vries,confirmed,complete historical race result,https://www.racingpost.com/results/207/baden-baden/2021-09-05/792961,2026-08-03,high,connection_blank_002; The complete result identifies Adrie de Vries as Millebosc's jockey in the Grosser Preis von Baden on 2021-09-05. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0009,connection_blank_009,712612,730833,2019-05-13,Saint-Cloud (FR),4:55,Le Letty (FR),owner,,Edouard Desespringalle,confirmed,dated horse profile covering the exact target result,https://www.turfoo.fr/fiches/chevaux/le-letty/,2026-08-03,high,connection_blank_009; The dated Le Letty profile covers the Saint-Cloud result and identifies Edouard Desespringalle as owner. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0010,connection_blank_010,725030,732516,2019-06-03,Longchamp (FR),4:55,Le Letty (FR),owner,,Edouard Desespringalle,confirmed,dated horse profile covering the exact target result,https://www.turfoo.fr/fiches/chevaux/le-letty/,2026-08-03,high,connection_blank_010; The dated Le Letty profile covers the Longchamp result and identifies Edouard Desespringalle as owner. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0011,connection_blank_011,801287,744785,2019-10-31,Mombetsu (JPN),11:07,Abenin Dream (JPN),owner,,Mastec Co Ltd,confirmed,exact historical race result,https://db.netkeiba.com/race/201930103111/,2026-08-03,high,connection_blank_011; The exact Hokkaido Nisai Yushun result lists 株式会社マステック as the owner of Abenin Dream. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0012,connection_blank_012,801290,744785,2019-10-31,Mombetsu (JPN),11:07,Chimera Verite (JPN),owner,,Makoto Kato,confirmed,exact historical race result,https://db.netkeiba.com/race/201930103111/,2026-08-03,high,connection_blank_012; The exact Hokkaido Nisai Yushun result lists 加藤誠 as owner of Chimera Verite. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0013,connection_blank_013,801304,744785,2019-10-31,Mombetsu (JPN),11:07,Meiner Astoria (JPN),owner,,Thoroughbred Club Ruffian Co Ltd,confirmed,exact historical race result,https://db.netkeiba.com/race/201930103111/,2026-08-03,high,connection_blank_013; The exact result lists サラブレッドクラブ・ラフィアン as owner of Meiner Astoria. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0014,connection_blank_014,801310,744785,2019-10-31,Mombetsu (JPN),11:07,Pionono (JPN),owner,,Kaneko Makoto Holdings Co Ltd,confirmed,exact historical race result,https://db.netkeiba.com/race/201930103111/,2026-08-03,high,connection_blank_014; The exact result lists 金子真人ホールディングス as owner of Pionono. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0015,connection_blank_015,801315,744785,2019-10-31,Mombetsu (JPN),11:07,Adjuvant (JPN),owner,,Toshiaki Date,confirmed,exact historical race result,https://db.netkeiba.com/race/201930103111/,2026-08-03,high,connection_blank_015; The exact result lists 伊達敏明 as owner of Adjuvant. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0016,connection_blank_016,871698,768529,2020-08-08,Flemington (AUS),3:05,Bertwhistle (AUS),owner,,R D Pfitzner,confirmed,official race-day racebook,https://online.flippingbook.com/view/72851,2026-08-03,high,connection_blank_016; The official Flemington racebook lists R D Pfitzner as owner of Bertwhistle in the target TAB Handicap. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0017,connection_blank_017,871699,768529,2020-08-08,Flemington (AUS),3:05,Flag Edition (NZ),owner,,"N Mashni, C M Barrett, Mrs J L Ince, D N Kwasha, Ms A C Sherry, 21st Century Racing Pty Ltd, First Light Racing Pty Ltd, F M L M Racing, S J V & Sulie",confirmed,official race-day racebook,https://online.flippingbook.com/view/72851,2026-08-03,high,connection_blank_017; The official Flemington racebook supplies the complete ownership group for Flag Edition. Syndicate-manager details remain available in the cited source. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0024,connection_blank_024,949270,775291,2020-12-29,Ohi (JPN),11:07,Casino Fountain (JPN),owner,,Kosei Yoshihashi,confirmed,exact historical result and official horse record,https://en.netkeiba.com/db/race/202044122910/,2026-08-03,high,connection_blank_024; The exact Tokyo Daishoten record identifies Kosei Yoshihashi as owner of Casino Fountain. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0025,connection_blank_025,989818,782234,2021-04-07,Funabashi (JPN),11:07,Absolute Queen (JPN),owner,,Mitsunari Hiromatsu,confirmed,official and independent exact-date racecards,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_babaCode=19&k_raceDate=2021%2F04%2F07&k_raceNo=11 | https://keiba.rakuten.co.jp/race_card/list/RACEID/202104071900000011,2026-08-03,high,connection_blank_025; The exact racecard lists 廣松光成 as owner of Absolute Queen. Supplement only when the exact immutable source field is blank.,source_supplementation
NB20-CONNECTION-0026,connection_blank_026,1044085,789638,2021-07-14,Ohi (JPN),11:07,Castle Top (JPN),owner,,Hiroshi Joichi,confirmed,exact historical race result,https://en.netkeiba.com/db/race/202144071411/,2026-08-03,high,connection_blank_026; The exact Japan Dirt Derby record identifies Hiroshi Joichi as owner of Castle Top. Supplement only when the exact immutable source field is blank.,source_supplementation
